"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","2043","499","499","27","27","315","154","463","58","1","2043"
"nlsr1","5284","998","998","84","84","933","536","1479","170","2","5284"
"nlsr2","4355","559","559","85","85","888","554","1454","170","1","4355"
"nlsr3","2371","0","0","57","57","633","426","1078","118","2","2371"
"nlsr4","3242","62","62","89","89","896","492","1403","148","1","3242"
"nlsr5","3480","58","58","89","89","912","594","1482","196","2","3480"
"nlsr6","3730","0","0","89","89","951","732","1702","166","1","3730"
"nlsr7","2139","32","32","57","57","604","318","936","102","1","2139"
"nlsr8","2124","30","30","57","57","605","324","932","88","1","2124"
"nlsr9","2155","28","28","57","57","617","319","934","114","1","2155"
"nlsr10","3684","30","30","86","86","935","725","1635","156","1","3684"
"nlsr11","2471","0","0","57","57","630","486","1134","106","1","2471"
"nlsr12","2102","32","32","54","54","595","310","932","92","1","2102"
"nlsr13","2099","30","30","54","54","590","314","930","96","1","2099"
"nlsr14","2106","28","28","57","57","593","313","930","98","2","2106"
"nlsr15","3489","30","30","83","83","918","640","1563","140","2","3489"
"sum","46874","2416","2416","1082","1082","11615","7237","18987","2018","21","46874"
