"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","2202","500","500","27","27","359","177","529","82","1","2202"
"nlsr1","5778","1000","1000","90","90","1050","610","1687","250","1","5778"
"nlsr2","4826","560","560","90","90","982","615","1672","256","1","4826"
"nlsr3","2690","0","0","60","60","710","498","1227","134","1","2690"
"nlsr4","3688","54","54","86","86","1014","558","1601","234","1","3688"
"nlsr5","3822","66","66","86","86","994","632","1677","214","1","3822"
"nlsr6","4160","0","0","86","86","1057","835","1915","180","1","4160"
"nlsr7","2409","20","20","57","57","698","358","1060","138","1","2409"
"nlsr8","2433","34","34","57","56","687","363","1061","140","1","2433"
"nlsr9","2394","30","30","55","55","682","363","1060","118","1","2394"
"nlsr10","4029","36","36","83","83","1024","768","1818","180","1","4029"
"nlsr11","2776","0","0","55","55","702","547","1286","130","1","2776"
"nlsr12","2379","20","20","56","56","689","351","1060","126","1","2379"
"nlsr13","2386","34","34","56","56","675","354","1058","118","1","2386"
"nlsr14","2375","30","30","56","56","671","355","1060","116","1","2375"
"nlsr15","3931","36","36","83","83","1020","695","1781","196","1","3931"
"sum","52278","2420","2420","1083","1082","13014","8079","21552","2612","16","52278"
