"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","2401","499","499","55","55","398","207","549","138","1","2401","395605"
"nlsr1","3095","504","504","88","88","592","299","834","184","2","3095","600042"
"nlsr2","2695","279","279","85","85","605","308","834","218","2","2695","600042"
"nlsr3","1705","150","150","58","58","388","192","556","152","1","1705","400028"
"nlsr4","1657","138","138","56","55","397","202","556","114","1","1657","400028"
"nlsr5","1469","32","32","55","55","408","203","556","126","2","1469","400028"
"nlsr6","1469","32","32","55","55","399","201","553","140","2","1469","398081"
"nlsr7","1454","36","36","55","55","371","186","555","158","2","1454","399379"
"nlsr8","1436","36","36","54","54","378","199","556","122","1","1436","400028"
"nlsr9","1430","32","32","55","54","386","198","556","116","1","1430","400028"
"nlsr10","1441","32","32","55","54","390","199","552","126","1","1441","397552"
"sum","20252","1770","1770","671","668","4712","2394","6657","1594","16","20252","4790841"
