"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","2401","499","0","18","37","200","104","182","92","138","1","274","197478","117890","79588"
"nlsr1","3095","252","252","59","29","294","195","279","184","184","2","463","339815","180639","159176"
"nlsr2","2695","32","247","58","27","303","199","279","184","218","2","463","339815","180639","159176"
"nlsr3","1705","18","132","29","29","194","94","186","92","152","1","278","200014","120426","79588"
"nlsr4","1657","18","120","28","28","202","100","186","92","114","1","278","200014","120426","79588"
"nlsr5","1469","16","16","27","28","206","100","186","92","126","2","278","200014","120426","79588"
"nlsr6","1469","16","16","27","28","198","101","184","92","140","2","276","198716","119128","79588"
"nlsr7","1454","18","18","27","28","192","95","186","94","158","2","280","201719","120426","81293"
"nlsr8","1436","18","18","27","27","194","104","186","95","122","1","281","202573","120426","82147"
"nlsr9","1430","16","16","27","27","202","103","186","95","116","1","281","202572","120426","82146"
"nlsr10","1441","16","16","27","27","202","106","184","96","126","1","280","202210","119188","83022"
"sum","20252","919","851","354","315","2387","1301","2224","1208","1594","16","3432","2484940","1440040","1044900"
