"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1832","500","500","27","27","246","116","345","68","3","1832"
"nlsr1","4539","1000","1000","83","83","744","363","1052","212","2","4539"
"nlsr2","3004","246","246","81","81","749","368","1045","186","2","3004"
"nlsr3","2289","317","317","54","54","473","243","700","130","1","2289"
"nlsr4","1712","32","32","54","54","491","245","681","122","1","1712"
"nlsr5","1720","26","26","54","54","496","245","700","118","1","1720"
"nlsr6","2574","68","68","81","81","672","363","1054","186","1","2574"
"nlsr7","1682","32","32","56","56","462","238","675","130","1","1682"
"nlsr8","1691","26","26","55","55","472","240","700","116","1","1691"
"nlsr9","1670","34","34","54","54","434","239","701","118","2","1670"
"nlsr10","1713","34","34","55","54","440","240","701","154","1","1713"
"sum","24426","2315","2315","654","653","5679","2900","8354","1540","16","24426"
