"","edge0","edge1","edge2","edge3","edge4","edge5","edge6","edge7","edge8","edge9","edge10"
"center0",3,2,2,3,1,2,1,0,1,2,0
"center1",1,2,2,1,3,1,1,0,0,0,0
"center2",0,2,1,2,1,0,1,0,0,2,0
"center3",1,1,3,1,0,1,0,1,2,0,0
"center4",0,0,1,0,1,0,0,0,0,0,0
"center5",1,1,2,0,0,1,2,0,0,0,0
"center6",2,1,1,0,0,0,0,0,0,1,0
"center7",1,1,0,0,0,1,0,1,0,0,0
"center8",0,0,0,2,0,1,0,0,0,1,0
"center9",1,2,0,1,0,0,0,0,0,1,0
"center10",0,0,0,0,0,0,0,0,0,0,0
