"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","2666","500","0","18","36","250","125","234","117","118","1","351","251062","150480","100582"
"nlsr1","3654","280","280","55","28","375","254","354","234","184","1","588","428741","227577","201164"
"nlsr2","2967","30","220","56","29","339","250","353","243","172","1","596","435760","226941","208819"
"nlsr3","1993","15","144","28","28","245","127","236","121","110","1","357","255743","151718","104025"
"nlsr4","1978","15","136","27","28","246","124","236","120","118","1","356","254849","151718","103131"
"nlsr5","1709","13","13","27","27","236","126","236","121","128","1","357","255714","151718","103996"
"nlsr6","1700","17","17","27","28","232","126","235","122","106","2","357","255981","151082","104899"
"nlsr7","1720","15","15","29","28","252","125","236","119","108","1","355","253957","151718","102239"
"nlsr8","1700","15","15","29","27","246","127","234","121","106","1","355","254478","150480","103998"
"nlsr9","1666","13","13","27","27","240","120","234","120","110","1","354","253648","150480","103168"
"nlsr10","1713","17","17","28","27","232","132","234","123","122","1","357","256212","150486","105726"
"sum","23466","930","870","351","313","2893","1636","2822","1561","1382","12","4383","3156145","1814398","1341747"
