"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","2666","500","500","54","54","487","251","701","118","1","2666","501488"
"nlsr1","3654","560","560","83","83","746","378","1059","184","1","3654","756900"
"nlsr2","2967","250","250","85","85","696","370","1058","172","1","2967","756471"
"nlsr3","1993","159","159","56","56","496","250","706","110","1","1993","504600"
"nlsr4","1978","151","151","55","55","494","247","706","118","1","1978","504600"
"nlsr5","1709","26","26","54","54","470","243","707","128","1","1709","505442"
"nlsr6","1700","34","34","55","55","461","247","706","106","2","1700","505074"
"nlsr7","1720","30","30","57","57","487","244","706","108","1","1720","504600"
"nlsr8","1700","30","30","56","56","473","246","702","106","1","1700","502124"
"nlsr9","1666","26","26","54","54","457","236","702","110","1","1666","502124"
"nlsr10","1713","34","34","55","54","455","254","704","122","1","1713","503878"
"sum","23466","1800","1800","664","663","5722","2966","8457","1382","12","23466","6047301"
